,Tweets,len,ID,CreateAt,Source,Likes,RTs,Favored
0,"Vamos dançar o CARNAVAL. É folia! Com paz, alegria, todos irmanados, enchamos as ruas com canções e danças que exal… https://t.co/GRvtsjZCet",140,1102526674577444864,2019-03-04 11:10:17,Instagram,361,35,False
1,"Angolanas e angolanos,

Hoje, 2 de Março, dia em que se celebra, mais uma vez, a entrega da MULHER ANGOLANA na luta… https://t.co/RHjWYPZv2f",140,1101618311664558080,2019-03-01 23:00:47,Instagram,520,64,False
2,"Considero o governo electrónico um importante factor para o desenvolvimento do país, por isso, anuncio o lançamento… https://t.co/qt1M74JF1s",140,1087945728935235584,2019-01-23 05:30:49,Twitter for Android,816,222,False
3,"Na passagem de mais um ano, reflictamos sobre a necessidade de, em 2019, cada um de nós ser parte fundamental na co… https://t.co/whb71s6o96",140,1079604342867542016,2018-12-31 05:05:08,Twitter for Android,1471,385,False
4,"Na próxima sexta-feira, recebo, aqui Palácio, jornalistas de órgãos nacionais e estrangeiros para, numa entrevista… https://t.co/A77yqZKjkg",139,1075064949641236480,2018-12-18 16:27:12,Twitter for Android,1364,227,False
5,A sociedade civil constitui um interlocutor incontornável do Executivo na concepção e execução das políticas públic… https://t.co/PvarYk1Hun,140,1069694991570821123,2018-12-03 20:48:54,Twitter for Android,908,124,False
6,"Ao celebrarmos os 43 anos da independência, cada angolano deve reflectir sobre a necessidade de honrar o feito dos… https://t.co/UmwLgbE4D1",139,1061852378863931392,2018-11-12 05:25:10,Twitter Web Client,696,75,False
7,Apelamos à União Europeia a estabelecer com os países africanos um novo paradigma de cooperação que nos ajude a pas… https://t.co/CLX0oZ8nU3,140,1051877929020481537,2018-10-15 16:50:15,Twitter Web Client,1180,243,False
8,"Com vista a facilitar os negócios e dinamizar o turismo em Angola, está já a ser implementado um  mecanismo de faci… https://t.co/5ogXc9KJO2",140,1051877365310255104,2018-10-15 16:48:01,Twitter Web Client,511,85,False
9,"Nesta data de grande significado para o Povo alemão, reitero a grande simpatia, amizade e admiração que nutrimos pe… https://t.co/iRWLXzDd5a",140,1047528493200941056,2018-10-03 16:47:09,Twitter Web App,514,36,False
10,"Depois de participar na Assembleia Geral da ONU, de passagem ontem por Madrid, mantive uma conversa telefónica com… https://t.co/BSU5FpFiPR",139,1046134598231633920,2018-09-29 20:28:19,Twitter Web Client,975,130,False
11,Angola manifesta toda a sua disponibilidade para continuar a apoiar todos os esforços na promoção da cooperação ent… https://t.co/qs6DgEMXz7,140,1045098705593004032,2018-09-26 23:52:03,Twitter Web Client,632,105,False
12,"Caros amigos, 
Defendemos a descentralização do sistema financeiro mundial baseada tanto na promoção dos sistemas d… https://t.co/HhQyrduZR7",140,1045097899963682817,2018-09-26 23:48:50,Twitter Web Client,1083,204,False
13,"É fundamental que o bom senso, o pragmatismo e sentido de Estado prevaleçam sempre nas relações entre Angola e Port… https://t.co/BZwGWQ8Foj",140,1042947851142287360,2018-09-21 01:25:19,Twitter Web App,506,71,False
14,"Vemos com bons olhos a implantação de pequenas e médias empresas portuguesas no mercado angolano, dentro de uma lóg… https://t.co/zi88wuqlST",140,1042942796074819585,2018-09-21 01:05:14,Twitter Web App,911,143,False
15,Recebi com profunda consternação a notícia do acidente entre dois comboios que colidiram na rota Lubango-Namibe. Tr… https://t.co/DmG43fh8Ir,140,1037106294451257344,2018-09-04 22:33:03,Twitter Web Client,848,120,False
16,Sempre defendi que apostar nos jovens é apostar no nosso futuro. Acredito que o caminho para o sucesso depende da d… https://t.co/0lmKrQjt7c,140,1034001592935219200,2018-08-27 08:56:05,Twitter Web Client,709,175,False
17,"Elevar o 23 de Março a uma data de celebração regional é reconhecer uma das batalhas mais sangrentas do Mundo, que… https://t.co/0O0vJF7P9R",139,1030705372498210816,2018-08-18 06:38:05,Twitter Web App,566,103,False
18,"A prosperidade de Angola passará sempre por uma cooperação assente em vantagens recíprocas.  
Reputo, por isso, de… https://t.co/cXF3632zI1",139,1023343571498401792,2018-07-28 23:04:54,Twitter Web App,939,193,False
19,"Por uma CPLP coesa e próspera, Angola reafirma hoje, aqui na Ilha do Sal, em Cabo Verde, a sua aposta no fortalecim… https://t.co/qolY2gWtn7",140,1019074112138940419,2018-07-17 04:19:36,Twitter Web App,513,71,False
20,"Felicito o Povo, o Presidente e o Governo da República Democrática do Congo pelos 58 anos da Independência Nacional… https://t.co/DCcHWaBoBm",140,1013921984068145155,2018-07-02 23:06:53,Twitter Web Client,536,84,False
21,"Condenamos veementemente o atentado à bomba contra a vida do Presidente e candidato Emerson Mnangângua, em Bulawaio… https://t.co/9DL5oazPMw",140,1011476800176828416,2018-06-26 05:10:36,Twitter Web Client,293,31,False
22,"Assinala-se, hoje, o Dia do Refugiado, uma data que nos convoca para o reforço da solidariedade com as pessoas que,… https://t.co/NA8yVdzwzh",140,1009213951366791169,2018-06-19 23:18:50,Twitter Web Client,449,71,False
23,"Angolanas e angolanos, 
Não podemos assistir impávidos à perda de vidas por doenças preveníveis e assistência médic… https://t.co/jSlJP318oh",140,995364710278139904,2018-05-12 18:06:54,Twitter Web App,527,94,False
24,Conversei na manhã de hoje com o Presidente Marcelo Rebelo de Sousa na sequência da decisão do Tribunal da Relação… https://t.co/vRTWXkXqyL,139,994874586377441280,2018-05-11 09:39:19,Twitter Web App,657,94,False
25,"Os senhores empresários têm, no contexto actual das economias dos países africanos, uma oportunidade histórica para… https://t.co/GbeQF07k9Q",140,992390210515324929,2018-05-04 13:07:18,Twitter Web Client,408,57,False
26,O Governo de Angola colocará todo o seu empenho na execução das grandes iniciativas concebidas pelos Estados membro… https://t.co/hwRKeQwY6O,140,990595312262746112,2018-04-29 14:15:01,Twitter Web App,319,32,False
27,"Por uma Angola exemplar, os nossos heróis internacionalizaram a luta pela liberdade e promoveram a solidariedade af… https://t.co/hdQjLwLj0a",140,984916005263724544,2018-04-13 22:07:29,Twitter Web Client,404,57,False
28,"Angola cumpriu o seu dever.
Acreditamos que é um passo que honra os pan-africanistas e potencia o processo de integ… https://t.co/sDEGHC6LJf",140,976439719499386882,2018-03-21 12:45:45,Twitter Web Client,579,104,False
29,"Felicito o Presidente Xi Jinping  pela sua recondução à liderança  da grande Nação Chinesa. Acredito que, sob este… https://t.co/w5XJv95iYn",139,976223206376984576,2018-03-20 22:25:24,Twitter Web App,461,52,False
30,"Não basta vivermos no multipartidarismo com a realização periódica de eleições, não basta haver liberdade de expres… https://t.co/PHLjW1zobM",140,973532256580055041,2018-03-13 12:12:31,Twitter Web Client,555,88,False
31,https://t.co/fQ4fWc7fqO,23,971433652243632128,2018-03-07 17:13:25,Twitter Web Client,958,271,False
32,A nossa tarefa em prol da democracia continua firme. O Executivo vai preparar as condições para que as eleições aut… https://t.co/lyZP7og0fB,140,965636609659064323,2018-02-19 17:18:03,Twitter Web Client,351,52,False
33,"Depois de dias de reflexão sobre o Início da Luta Armada, hoje recomeça o dever colectivo de construirmos o nosso f… https://t.co/ostOBIZQWI",140,960843844328837120,2018-02-06 11:53:18,Twitter Web Client,240,35,False
34,"Ao celebrar hoje o 57.° aniversário do início da luta armada, Angola reitera a sua determinação em lutar por um mun… https://t.co/hPbJsd9Bm5",140,959856097841549312,2018-02-03 18:28:21,Twitter Web Client,245,28,False
35,"I thank the former Nigerian President, Olusegun Obasanjo, for the words of cordiality he formulated me on the sidel… https://t.co/0Bk1hpw6ZX",140,959476156272693248,2018-02-02 17:18:36,Twitter Web Client,152,10,False
36,"Agradeço ao ex-presidente nigeriano, Olusegun Obasanjo, pelas palavras de cordialidade que me formulou à margem da… https://t.co/KaJHf5xSXG",139,959476150677450756,2018-02-02 17:18:35,Twitter Web Client,166,21,False
37,Estamos a trabalhar na Província do Namibe e é com agrado que registamos o engajamento total do sector produtivo. https://t.co/7SAKlfPuDi,137,958953011166044162,2018-02-01 06:39:49,Twitter Web App,192,15,False
38,RT @jlprdeangola: Temos que resgatar os valores de solidariedade que nortearam a acção dos Países fundadores da Organização da Unidade Afri…,140,958684693121110019,2018-01-31 12:53:36,Twitter Web App,0,15,False
39,Temos que resgatar os valores de solidariedade que nortearam a acção dos Países fundadores da Organização da Unidad… https://t.co/MpzL5JlAL1,140,958412854222352385,2018-01-30 18:53:25,Twitter Web Client,121,15,False
40,"A identidade cultural é um activo fundamental para a afirmação de um povo. Angola colocou ontem, em Addis-Abeba, no… https://t.co/tCC82sxTMH",140,957759043837333504,2018-01-28 23:35:25,Twitter Web App,193,15,False
41,Precisamos de imprimir uma nova dinâmica e introduzir métodos inovadores orientados para acções concretas. Temos a… https://t.co/0qntqGL34B,139,957744272845017089,2018-01-28 22:36:43,Twitter Web App,146,15,False
42,"Angola continua empenhada  na busca da paz e da prosperidade para os povos do mundo e, sobretudo, do continente afr… https://t.co/252DsPi10F",140,957402049867649029,2018-01-27 23:56:51,Twitter Web App,135,19,False
43,"As nossas diferenças não comprometem os nossos objectivos fundamentais. Ontem, tive uma conversa produtiva com o Pr… https://t.co/L3i8uIvqAs",140,956174622952587269,2018-01-24 14:39:29,Twitter Web Client,167,23,False
44,"As relações entre Angola e Brasil dominaram a entrevista que concedi ontem, em Davos, aos jornalistas brasileiros.… https://t.co/zj9cA2BeEH",139,956169618686554112,2018-01-24 14:19:36,Twitter Web Client,159,13,False
45,"Meus prezados compatriotas, estejam onde estiverem, este canal nos vai aproximar certamente mais. Um Ano Novo muito… https://t.co/PBX9zq6JGq",140,956104853390061570,2018-01-24 10:02:15,Twitter Web Client,190,14,False
